"year","temp_sn","pop_growth","forest_rent","terre_agri","LCo2","temp_sn_pos","temp_sn_neg","pop_growth_pos","pop_growth_neg","terre_agri_pos","terre_agri_neg","LCo2_pos","LCo2_neg"
2000,0.918,2.35349186373024,2.28823224800292,46.8861995533164,0.389417573335913,0.337,0,0.03709205347175,0,0,-0.441489637978499,0,-0.0309421280755066
2001,1.168,2.38007633836581,2.0423216013611,45.7019685243858,0.422990834304289,0.25,0,0.0265844746355697,0,0,-1.1842310289306,0.0335732609683768,0
2002,1.425,2.41498169831971,2.26762698566443,45.4474627330806,0.40556823658424,0.257,0,0.0349053599539002,0,0,-0.254505791305199,0,-0.0174225977200491
2003,1.15,2.45996800523196,2.67173545308465,44.8345712356516,0.379985948611645,0,-0.275,0.04498630691225,0,0,-0.612891497428997,0,-0.0255822879725954
2004,1.157,2.50033904791585,1.92610162962155,45.1202410014024,0.409672554579338,0.00700000000000012,0,0.0403710426838897,0,0.285669765750797,0,0.0296866059676926,0
2005,1.366,2.54126351828797,1.91529798187365,45.5825066223446,0.435105413467534,0.209,0,0.0409244703721203,0,0.462265620942205,0,0.0254328588881964,0
2006,1.37,2.60233440516001,1.88914740077428,44.0970238404404,0.425988064478797,0.004,0,0.0610708868720398,0,0,-1.4854827819042,0,-0.00911734898873701
2007,1.202,2.63281190597884,2.14910063112975,44.1645457850725,0.45455206549987,0,-0.168,0.0304775008188303,0,0.067521944632098,0,0.0285640010210732,0
2008,1.294,2.63754388814397,2.24764775901598,48.1743104970654,0.467453283030484,0.0920000000000001,0,0.00473198216512971,0,4.0097647119929,0,0.0129012175306143,0
2009,0.703,2.67674749775798,2.26182875423849,48.1898924842882,0.480462941574814,0,-0.591,0.03920360961401,0,0.0155819872228022,0,0.0130096585443292,0
2010,1.432,2.71070159961371,2.06764724818358,48.1898924842882,0.490419420340869,0.729,0,0.0339541018557301,0,0,0,0.00995647876605565,0
2011,1.187,2.72203680436678,2.13638602306903,46.5641718173791,0.501683221886039,0,-0.245,0.0113352047530699,0,0,-1.6257206669091,0.0112638015451695,0
2012,0.834,2.72697235540654,2.45335214507715,46.5641718173791,0.491455722682258,0,-0.353,0.00493555103976018,0,0,0,0,-0.0102274992037811
2013,1.18,2.71181928883915,2.37964502782245,46.5797538046019,0.488856475082986,0.346,0,0,-0.01515306656739,0.0155819872228022,0,0,-0.00259924759927199
2014,1.105,2.71905100988297,2.45092372661874,46.6005297875656,0.4959086578805,0,-0.075,0.00723172104381975,0,0.0207759829636984,0,0.00705218279751418,0
2015,1.212,2.72463609047466,2.71863395258786,48.4495922713343,0.536217578247599,0.107,0,0.00558508059169016,0,1.84906248376871,0,0.0403089203670996,0
2016,1.542,2.7154429589038,2.65969682936919,48.2418324416974,0.570749717689445,0.33,0,0,-0.00919313157086021,0,-0.207759829636906,0.0345321394418454,0
2017,1.744,2.7179778377713,2.45324564621686,48.4236222926297,0.53637661793111,0.202,0,0.00253487886750037,0,0.181789850932304,0,0,-0.0343730997583344
2018,0.964,2.71464328183934,1.70941204046376,48.605412143562,0.537135433314309,0,-0.78,0,-0.00333455593196019,0.181789850932297,0,0.000758815383198219,0
2019,1.396,2.69763115886709,1.55998561412281,48.7975899859762,0.603570191410057,0.432,0,0,-0.01701212297225,0.192177842414203,0,0.0664347580957478,0
2020,1.665,2.68438184925041,1.59777919792718,48.9793798369085,0.549260656773139,0.269,0,0,-0.0132493096166799,0.181789850932297,0,0,-0.0543095346369178
2021,1.782,2.64538054494311,1.50333498944711,49.4000934919233,0.565343192828728,0.117,0,0,-0.0390013043073001,0.420713655014801,0,0.0160825360555893,0
