"year","Co2","temp_sn","pop_tot","pop_urb","pop_rur","Fbcf","forest_rent","terre_agri","LCo2","Lpop_tot","Lpop_urb","Lpop_rur"
2007,4862531,1.202,11563869,4918692,6645177,21.0584702020658,2.14910063112975,44.1645457850725,15.3970696422099,16.2633960537941,15.4085531994646,15.7094018863436
2008,4740295,1.294,11872929,5099067,6773862,22.5827096407528,2.24764775901598,48.1743104970654,15.3716099280216,16.2897714926755,15.4445681397823,15.7285819401417
2009,5257668,0.703,12195029,5287643,6907386,19.892181730254,2.26182875423849,48.1898924842882,15.4751981403994,16.3165389676531,15.4808831468882,15.7481018318433
2010,6862391,1.432,12530121,5484810,7045311,18.5165937108428,2.06764724818358,48.1898924842882,15.7415664812494,16.3436459836492,15.5174930111644,15.7678728471241
2011,7818837,1.187,12875880,5689594,7186286,21.016036842452,2.13638602306903,46.5641718173791,15.8720463802338,16.3708663516929,15.5541494503054,15.787685045474
2012,7362129,0.834,13231833,5901794,7330039,20.7024327245936,2.45335214507715,46.5641718173791,15.81185971518,16.398136075247,15.5907669304533,15.807491394449
2013,7852669,1.18,13595566,6120588,7474978,22.1689175500657,2.37964502782245,46.5797538046019,15.8763640319717,16.4252542681354,15.6271687283046,15.8270717340929
2014,8724360,1.105,13970308,6347549,7622759,23.4796505671231,2.45092372661874,46.6005297875656,15.9816296709268,16.4524447782342,15.6635793121058,15.8466489356209
2015,9845416,1.212,14356181,6584032,7772149,23.0173333396773,2.71863395258786,48.4495922713343,16.1025165241144,16.479691139139,15.7001578815945,15.8660572606802
2016,10015698,1.542,14751356,6829288,7922068,23.9281241214968,2.65969682936919,48.2418324416974,16.1196642201103,16.506845568728,15.7367309801393,15.8851628408181
2017,10760131,1.744,15157793,7084752,8073041,25.8256617810862,2.45324564621686,48.4236222926297,16.191358287345,16.5340253471057,15.7734554269657,15.9040407970215
2018,11330392,0.964,15574909,7350111,8224798,28.3218108284288,1.70941204046376,48.605412143562,16.242999230817,16.5611717799241,15.8102259731158,15.9226642950436
2019,12713021,1.396,16000781,7624852,8375929,29.6563562180026,1.55998561412281,48.7975899859762,16.3581373017833,16.5881480915128,15.8469234704333,15.9408725548968
2020,10820952,1.665,16436120,7909390,8526730,30.4531772551564,1.59777919792718,48.9793798369085,16.1969948127247,16.6149919100053,15.8835612191974,15.9587164930971
2021,11540229,1.782,16876720,8202086,8674634,33.9687017708203,1.50333498944711,49.4000934919233,16.2613496628681,16.6414457154547,15.9198990701267,15.9759136927054
